Model,T_eval,Accuracy (%),Latency (s/sample)
T_train=20,5,10.0,0.010917391633987427
T_train=20,10,10.0,0.021629534888267517
T_train=20,20,84.0,0.043077505707740785
T_train=20,30,85.85,0.06465595984458923
T_train=20,40,85.44,0.0863708054304123
T_train=20,50,84.92,0.10799257166385651
T_train=20,60,84.55,0.12937395346164704
T_train=25,5,10.0,0.010796586203575135
T_train=25,10,10.0,0.021544008541107176
T_train=25,20,79.19,0.04310442526340485
T_train=25,30,88.02,0.06453418061733246
T_train=25,40,88.03,0.08606577763557434
T_train=25,50,87.81,0.10762036123275757
T_train=25,60,87.49,2.7199912660598753
